ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M001,0,-,2,0,0,0,5,caught,2,c Wasim Akram b Waqar Younis,v Pakistan,Gujranwala,18 Dec 1989,ODI # 593
M002,0,2,2,0,0,0,5,caught,2,c & b S A Thomson,v New Zealand,Dunedin,1 Mar 1990,ODI # 612
M003,36,51,39,5,0,92.3,6,caught,1,c †I D S Smith b S A Thomson,v New Zealand,Wellington,6 Mar 1990,ODI # 616
M004,10,-,12,0,0,83.33,5,run out,1,run out,v Sri Lanka,Sharjah,25 Apr 1990,ODI # 623
M005,20,-,25,1,0,80,7,caught,2,c Saeed Anwar b Imran Khan,v Pakistan,Sharjah,27 Apr 1990,ODI # 625
M006,19,38,35,1,1,54.28,4,bowled,2,b D E Malcolm,v England,Leeds,18 Jul 1990,ODI # 634
M007,31,31,26,3,0,119.23,6,bowled,2,b A R C Fraser,v England,Nottingham,20 Jul 1990,ODI # 635
M008,36,-,22,3,2,163.63,5,bowled,1,b R J Ratnayake,v Sri Lanka,Nagpur,1 Dec 1990,ODI # 644
M009,53,-,41,7,1,129.26,5,bowled,2,b G F Labrooy,v Sri Lanka,Pune,5 Dec 1990,ODI # 646
M010,30,-,29,1,2,103.44,5,caught,1,c & b S D Anurasiri,v Sri Lanka,Margao,8 Dec 1990,ODI # 648
M011,DNB,-,-,-,-,-,-,-,2,did not bat,v Bangladesh,Chandigarh,25 Dec 1990,ODI # 657
M012,4,-,11,0,0,36.36,5,lbw,2,lbw b A Ranatunga,v Sri Lanka,Cuttack,28 Dec 1990,ODI # 658
M013,53,-,70,2,0,75.71,4,lbw,2,lbw b R J Ratnayake,v Sri Lanka,Kolkata,4 Jan 1991,ODI # 661
M014,52*,-,40,5,0,130,5,not out,1,not out,v Pakistan,Sharjah,18 Oct 1991,ODI # 680
M015,22,-,27,3,0,81.48,5,run out,1,run out,v West Indies,Sharjah,19 Oct 1991,ODI # 681
